Kana,Type,Pronunciation,Prompt,Educational Text
ア,Katakana,A,kawaii anime girl teaching ア with cute background,ア is pronounced like 'a in 'car''. Imagine something cute to help you remember!
イ,Katakana,I,kawaii anime girl teaching イ with cute background,イ is pronounced like 'ee in 'see''. Imagine something cute to help you remember!
ウ,Katakana,U,kawaii anime girl teaching ウ with cute background,ウ is pronounced like 'oo in 'moon''. Imagine something cute to help you remember!
エ,Katakana,E,kawaii anime girl teaching エ with cute background,エ is pronounced like 'e in 'bed''. Imagine something cute to help you remember!
オ,Katakana,O,kawaii anime girl teaching オ with cute background,オ is pronounced like 'o in 'open''. Imagine something cute to help you remember!
カ,Katakana,KA,kawaii anime girl teaching カ with cute background,カ is pronounced like 'ka in 'car''. Imagine something cute to help you remember!
キ,Katakana,KI,kawaii anime girl teaching キ with cute background,キ is pronounced like 'kee'. Imagine something cute to help you remember!
ク,Katakana,KU,kawaii anime girl teaching ク with cute background,ク is pronounced like 'koo'. Imagine something cute to help you remember!
ケ,Katakana,KE,kawaii anime girl teaching ケ with cute background,ケ is pronounced like 'keh'. Imagine something cute to help you remember!
コ,Katakana,KO,kawaii anime girl teaching コ with cute background,コ is pronounced like 'ko in 'coffee''. Imagine something cute to help you remember!
サ,Katakana,SA,kawaii anime girl teaching サ with cute background,サ is pronounced like 'sa in 'sand''. Imagine something cute to help you remember!
シ,Katakana,SHI,kawaii anime girl teaching シ with cute background,シ is pronounced like 'she'. Imagine something cute to help you remember!
ス,Katakana,SU,kawaii anime girl teaching ス with cute background,ス is pronounced like 'soo'. Imagine something cute to help you remember!
セ,Katakana,SE,kawaii anime girl teaching セ with cute background,セ is pronounced like 'se in 'set''. Imagine something cute to help you remember!
ソ,Katakana,SO,kawaii anime girl teaching ソ with cute background,ソ is pronounced like 'so in 'song''. Imagine something cute to help you remember!
タ,Katakana,TA,kawaii anime girl teaching タ with cute background,タ is pronounced like 'ta in 'tap''. Imagine something cute to help you remember!
チ,Katakana,CHI,kawaii anime girl teaching チ with cute background,チ is pronounced like 'chee'. Imagine something cute to help you remember!
ツ,Katakana,TSU,kawaii anime girl teaching ツ with cute background,ツ is pronounced like 'tsu in 'tsunami''. Imagine something cute to help you remember!
テ,Katakana,TE,kawaii anime girl teaching テ with cute background,テ is pronounced like 'te in 'ten''. Imagine something cute to help you remember!
ト,Katakana,TO,kawaii anime girl teaching ト with cute background,ト is pronounced like 'to in 'top''. Imagine something cute to help you remember!
ナ,Katakana,NA,kawaii anime girl teaching ナ with cute background,ナ is pronounced like 'na in 'nap''. Imagine something cute to help you remember!
ニ,Katakana,NI,kawaii anime girl teaching ニ with cute background,ニ is pronounced like 'nee'. Imagine something cute to help you remember!
ヌ,Katakana,NU,kawaii anime girl teaching ヌ with cute background,ヌ is pronounced like 'noo'. Imagine something cute to help you remember!
